City,PM2_5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI_Bucket
Amritsar,49.95,88.23,8.59,11.23,19.82,5.04,0.55,8.49,42.9,2.06,2.43,2,Satisfactory
Amaravati,48.5,84.25,1.03,18.45,10.62,23.5,0.13,9.17,99.48,0.1,6.5,0.08,Moderate
Delhi,335.02,481.26,159.52,89.36,174.94,64.38,4.18,16.21,38.16,10.9,101.05,10.37,Severe
Delhi,82.41,419.51,17.18,29.05,31.81,35.59,0.98,12.04,76.89,2.04,35.63,0.14,Poor
Amritsar,78.55,149,18.37,11.46,29.8,13.42,0.77,12.98,40.56,2.08,2.5,2,Moderate
Hyderabad,36.54,90.95,1.51,25.28,14.62,17.49,0.4,12.37,82.13,2.35,18.69,6.6,Moderate
Delhi,173.77,252.4,21.62,34.35,40.64,85.79,9.7,5.28,5.94,1.23,1.54,0,Very Poor
Hyderabad,7.25,19.3,1.82,13.77,8.74,7.42,0.3,4.91,33.31,0.14,0.48,0.06,Good
Kolkata,21.28,41.49,3.74,7.23,11.01,11.93,0.37,7.25,76.62,1.12,5.59,0.21,Satisfactory
Visakhapatnam,0.25,62.5,10.15,30.55,24.53,12.58,0.39,35.67,19.6,4.15,7.58,2.17,Satisfactory
Patna,75.76,227.48,119.97,80.15,95.96,32.99,2.56,10.12,3.38,7.89,9.38,8.06,Poor
Delhi,72.51,275.59,36.57,40.31,53.88,40.24,1.56,10.46,22.46,2.77,24.77,0.57,Poor
Amritsar,22.99,67.2,13.72,6.27,20,9.93,0.53,1.93,17.65,8.79,6.34,4.66,Satisfactory
Kolkata,11.56,25.26,7.1,16.02,22.91,8.14,0.37,4.3,12.9,26.22,21.64,1.68,Good
Delhi,354.09,582.61,156.75,82.34,179.74,59.07,4.19,16.09,29.61,12.05,101.04,3.36,Severe
Delhi,45.09,113.4,14.02,43.95,37.47,33.16,0.86,25.85,24.72,2.36,20.81,0.74,Moderate
Delhi,25.28,112.37,8.31,31.39,24.15,24,0.87,9.54,81.76,1.06,9,0.18,Moderate
Delhi,102.61,285.34,84.33,48.52,137.64,34.34,1.34,7.73,52.49,7.75,20.58,4.42,Poor
Visakhapatnam,30,75.5,3.83,9.25,8,6.72,0.7,3.45,16.15,6.02,7.68,1.75,Satisfactory
Delhi,44.17,80.88,7.92,24.79,20.89,33.35,0.66,8.69,39.13,2.77,24.23,0.15,Satisfactory
Visakhapatnam,7,25,3.25,6.3,6.02,5.23,0.38,0.73,29.43,1.42,4.03,1.17,Good
Amritsar,29.05,64.38,16.93,9.9,26.14,11.8,0.75,6.48,22.14,1.37,1.55,2,Satisfactory
Hyderabad,6.42,16.65,3.86,19.3,13.24,16.22,0.21,3.92,16.68,0.36,3.33,0.18,Good
Amritsar,19.94,64.19,16.04,14.77,26.07,11.35,0.64,7.1,43.66,1.42,1.81,2,Satisfactory
Delhi,142.37,222.49,29.39,52.63,56.4,35.17,1.28,12.65,17.21,3.9,26.31,1.09,Poor
Delhi,103.46,202.73,31.09,46.73,50.64,30.33,1.1,13.55,18.28,4.63,38.01,1.32,Poor
Amaravati,11,33,1.7,9.17,6.3,9.38,0.53,11.9,26,0.1,9.88,0.1,Good
Amritsar,10.54,47.01,18.9,10.01,28.28,11.78,0.72,6.39,43.02,1.3,1.1,8.81,Good
Delhi,623.69,764.99,20.97,108.76,99.47,71.82,1.85,15.36,68.4,4.57,14.06,0.06,Severe
Hyderabad,15.5,15.5,8.52,41.15,13.19,10.13,0.01,3.68,25.88,0.05,0.28,0.14,Good
Hyderabad,55,153.62,4.22,30.6,7.88,30.8,0.15,12.45,51.14,0.07,1.01,0.36,Moderate
Hyderabad,20.75,83.25,13.68,65.55,21.04,23.57,0.04,5.45,21.22,0.02,0.2,0.48,Satisfactory
Delhi,214.27,331.59,92.25,56.2,121.94,67.55,2.07,20.28,71.34,4.4,14.68,0.09,Very Poor
Patna,67.51,128.99,64.69,48.87,64.49,12.61,1.54,11.41,8.28,2.31,3.93,2.21,Moderate
Visakhapatnam,47.75,125.25,6.2,43.57,25.85,13.98,0.71,4.53,21.65,5.25,4.97,2.87,Moderate
Hyderabad,8.83,14.5,23.25,12.58,21.45,25.79,0.38,5.64,19.05,1.5,2.47,0.18,Good
Amaravati,57.25,93,2.55,18.23,11.75,9.28,0.64,13.88,57.05,0.42,1.33,0.1,Moderate
Hyderabad,46,126.75,5.08,40.74,29.08,22.65,0.58,1.62,43.54,1.04,5.76,1.38,Moderate
Visakhapatnam,47.5,198,45.35,47.25,62,2.95,0.55,2.15,8.88,6.5,23.2,4.73,Moderate
Hyderabad,10.4,24.85,2.92,15.16,10.44,7.18,0.38,5.38,10.97,0.06,0.39,0,Good
Visakhapatnam,173.25,345.25,71.93,112.38,118.22,14.32,1.91,22.32,25.62,10.65,16.65,5.43,Very Poor
Delhi,74.5,289.91,44.14,41.76,61.59,42.12,1.56,10.5,22.74,3.62,29.73,0.69,Poor
Amaravati,37.25,178.75,0.65,20.75,11.53,5.8,0.57,12.8,58.92,1.05,0.82,0.1,Moderate
Hyderabad,54.21,137.05,5.82,51.54,32.15,16.86,0.92,31.92,42.83,9.14,49.73,11.29,Moderate
Delhi,36.3,106.58,8.7,23.32,21.4,27.25,0.73,13.61,72.76,1.72,12.5,7.5,Moderate
Kolkata,4.71,20.22,4.03,7.33,11.38,12.36,0.31,5.49,32.33,0.91,5.21,0.3,Good
Delhi,84.27,314.18,13.96,32.97,22.38,36.48,0.87,17.86,108.22,3,21.21,0.33,Poor
Delhi,36.56,107.22,9.32,24.87,22.92,43.74,1.19,8.85,47.56,1.29,27.15,0.13,Moderate
Hyderabad,51,95.25,25.32,24.82,43.48,33.2,0.63,5.55,86.62,0.48,2.22,0.16,Moderate
Kolkata,15.33,23.95,4.38,11.41,15.8,7.27,0.48,2.15,30.15,17.55,6.71,2.79,Good
Delhi,416.42,549.92,260.94,90.92,279.48,67.78,5.31,17.98,51.04,15.38,111.91,4.33,Severe
Visakhapatnam,25.75,65.5,12.42,46,31.65,11.25,0.73,8.25,30.15,4.92,7.95,5.23,Satisfactory
Hyderabad,62.6,112.81,8.4,29.3,21.12,29.35,0.41,8.37,53.38,0.17,0.7,0.02,Moderate
Delhi,350.52,514.64,115.7,59.51,126.61,57.09,2.37,12.07,30.55,9.53,53.47,3.06,Severe
Amritsar,149.85,306.93,126.37,71.43,197.8,11.74,5.18,12.29,15.92,26.29,16,25.98,Very Poor
Delhi,61.52,196.86,8.9,32.13,22.8,27.56,0.79,16,90.87,2.38,45.54,0.09,Poor
Delhi,219.09,258.16,28.49,75.54,3.82,46.09,1.1,18.58,51.78,3.51,6.66,0.68,Very Poor
Delhi,136.58,282.17,30.01,57.61,68.63,54.96,0.93,24.67,73.67,2.36,4.12,0.62,Very Poor
Delhi,113.02,530.26,11.43,23.21,25.52,23.12,0.68,6.98,49.43,3.13,12.79,0,Severe
Amritsar,57.69,155.12,17.22,12.31,29.11,11.84,0.69,13.89,16.47,1.77,2.51,2,Moderate
Chandigarh,12.39,17.23,2.1,11.52,7.72,25.79,0.43,10.27,23.74,2.5,0.37,1.12,Good
Visakhapatnam,44.5,143.75,31.58,63.75,59.6,10.35,2.3,27.75,17.23,10.88,14.28,5.53,Moderate
Visakhapatnam,59,122,3.12,14.98,10.53,10.65,0.51,2.65,67.4,1.08,1.3,0.2,Moderate
Delhi,316.82,479.09,145.09,51.28,143.06,53.02,2.92,12.83,33.43,12.3,102.91,5.62,Severe
Delhi,185.44,318.84,17.66,39.47,43.38,142.35,5.27,5.91,31.59,3.86,4.76,4.24,Very Poor
Kolkata,9.94,22.32,4.12,9.25,13.42,12.03,0.31,5.08,19.65,1.38,7.03,0.45,Good
Delhi,190.5,302.74,17.64,55.4,48.54,57.78,1.44,19.8,65.85,4.42,26.74,0.28,Severe
Visakhapatnam,56,94,43.88,69.58,66.65,18.05,1.87,17.42,12.97,13.45,13.52,12.73,Moderate
Hyderabad,25.58,40,3.85,11.37,8.46,9.36,0.31,5.5,27.93,0.28,2.46,0.03,Good
Amaravati,16,34.75,1.38,10.25,6.58,13.48,0.44,18.48,26.27,0.33,8.75,0.15,Good
Hyderabad,28.65,100.56,0.97,11.66,6.97,14.2,0.4,3.49,76.78,0.61,6.09,1,Moderate
Kolkata,65.71,149.99,24.38,71.88,96.19,22.34,1.17,10.44,13.62,30.88,36.57,3.41,Moderate
Delhi,248.58,336.29,19.16,59.82,36.06,45.37,0.78,17.92,37.62,1.24,4.66,0.06,Very Poor
Delhi,73.74,141.01,14.13,36.29,34.8,31.65,0.72,13.03,23.67,2.06,20.54,0.39,Moderate
Visakhapatnam,77.25,144.5,3.03,41.5,24.52,13.95,0.95,8.53,76.57,4.68,12.7,4.6,Moderate
Delhi,163.36,387.31,47.08,67.37,88.84,37.71,12.02,5.38,36.97,3.48,17.91,1.63,Very Poor
Delhi,113.63,171.6,32.31,65.52,60.14,42.8,1.92,6.26,39.24,3.37,9.63,0.61,Poor
Chandigarh,12.71,33.48,2.48,16.85,10.43,58.23,0.5,22.68,17.73,3.7,0.67,1.03,Good
Patna,186.18,226.83,60.4,32.97,92.5,31.7,2.68,7.51,16.08,6.18,2.58,5.52,Very Poor
Delhi,388.34,614.66,49.46,99.78,100.04,52.88,2.8,13.94,36.57,7.55,53.36,1.4,Severe
Delhi,209.04,313.57,69.44,45.74,87.88,52.84,2.02,16.45,72.25,3.84,11.67,0.07,Very Poor
Hyderabad,65.33,120.55,2.12,43.6,24.91,12.67,0.72,16.49,21.97,3.15,18.86,2.37,Moderate
Visakhapatnam,14.5,30.5,14.45,29.67,27.5,7.7,0.11,2.52,9.85,3,32.88,0.2,Good
Hyderabad,109,94,47.58,29.68,75.92,10.25,1.5,10.2,18.01,2.08,19.04,0.44,Poor
Kolkata,12.46,35.13,3.7,5.01,8.77,5.91,0.25,4.02,22.12,1.05,1.73,0.2,Good
Visakhapatnam,12.5,34.5,2.15,16.38,10.45,8.82,0.71,8.57,60.88,2.17,4.9,0.45,Satisfactory
Patna,203.76,245.6,51.3,26.68,77.24,26.02,2.69,8.72,13.26,3.4,1.86,4.63,Very Poor
Visakhapatnam,101,171.5,4.08,36.55,22.75,25.07,1.02,13.3,90.08,3.2,4.75,1.43,Poor
Patna,45.35,114.11,29.12,53.85,81.72,38.22,1.22,11.35,19.68,0.92,6.35,1.88,Poor
Amritsar,37.44,68.21,12.94,9.02,21.96,11,0.13,10.72,26.2,2,1.1,2,Satisfactory
Hyderabad,18.38,27.55,7.86,29.55,21.68,12.32,0.32,8.99,10.2,0.54,4.51,0.41,Good
Hyderabad,18,34.31,1.71,16.93,10.39,12.95,0.32,8.96,62.15,0.28,0.88,0,Satisfactory
Kolkata,11.6,26.92,4.27,8.14,12.47,15.57,0.34,5.33,26.13,0.95,6.73,0.32,Good
Delhi,300.23,401.76,34.65,61.61,5.66,58.53,1.66,15.41,59.18,4.4,9.67,0.38,Severe
Delhi,336.43,714.63,148.42,46.31,171.1,35.75,12.17,17.67,56.44,26.56,45.62,9.99,Severe
Delhi,376.64,572.25,12.65,62.03,47.33,54.03,1.97,17.05,65.64,6.29,40.42,1.41,Severe
Hyderabad,3.58,9.5,1.81,8.69,3.04,4.17,0.14,1.45,28.22,0,0.29,0.04,Good
Amritsar,196.93,247.88,8.31,30.59,38.9,62.23,1.31,2.38,6.91,3.6,11.55,25.48,Very Poor
Kolkata,9.77,27.17,5.31,8.39,13.75,6.95,0.38,5.68,36.15,1.06,10.89,0.22,Good
Delhi,164.82,245.96,13.4,31.04,34.78,160.55,7.66,5.04,45.35,3.09,5.79,3.21,Very Poor
Amaravati,73.25,102.5,3.17,30.7,18.92,17.2,0.03,5.6,11.75,0.35,6.98,0.28,Moderate
Patna,118.21,169.87,55.33,38.21,91.13,27.22,1.89,9.34,16.56,1.82,1.89,3.62,Poor
Delhi,404.63,573.62,97.22,80.93,116.35,55.86,2.82,16.49,31.65,11.24,56.4,4.07,Severe
Delhi,304.14,415.9,70.28,50.63,92.06,47.74,2.19,11.73,28.82,6.71,41.27,6.83,Severe
Delhi,360.51,527.86,232.99,71.15,235.54,59.87,4.23,17.94,34.48,14.7,97.07,3.08,Severe
Amaravati,12,45.25,0.58,3.47,2.3,2.08,0.23,12,21.67,0,0.53,0.1,Good
Delhi,707.16,900.8,93.66,79.17,127.65,100.38,1.71,24.26,42.9,11.47,55.51,0.06,Severe
Hyderabad,10.38,25.31,3.1,17.03,11.22,14.28,0.27,5.13,16.83,0.18,1.06,0.12,Good
Delhi,171.75,260.68,20.88,50.53,64.61,36.86,1.14,18.58,56.76,2.26,4.06,0.1,Very Poor
Delhi,175.89,724.23,11.56,25.75,29.93,29.12,0.69,5.11,24.2,1.63,2.01,0,Severe
Amritsar,172.82,342.46,8.56,48.68,57.24,64.52,1.5,6.35,5.48,2.92,12.06,26.13,Very Poor
Hyderabad,14.92,39.05,1.43,10.83,6.88,13.16,0.26,4.05,32.71,0.17,0.74,0.09,Good
Amritsar,152.86,256.22,86.53,15.04,101.57,3.55,2.68,6.77,18.33,6.65,11.92,19.81,Very Poor
Delhi,96.59,159.52,17.33,34.99,36.3,27.43,0.97,10.94,25.82,2.78,11.6,0.26,Poor
Amaravati,12,22,1.1,8.18,5.28,3.4,0.7,2.85,20.58,0.1,1.4,0.25,Good
Hyderabad,46.42,99.9,8.75,24.3,18.78,15.17,0.31,11.59,46.94,1.05,10.16,0.27,Moderate
Hyderabad,49.42,128.6,3.41,39.75,23.89,18.04,0.66,6.52,23.07,2.58,18.39,2.5,Moderate
Delhi,411.25,605.85,159.67,62.87,173.82,62.87,3.67,16.25,39.62,14.03,100.98,3.54,Severe
Hyderabad,60,114.19,1.91,41.95,23.85,9.43,0.43,9.61,58.81,1.45,15.28,1.71,Moderate
Delhi,169.44,259.34,8.88,32.94,25.79,51.31,0.87,5.23,25.1,2.62,11.69,0.07,Very Poor
Delhi,26.45,72.36,7.61,27.63,22.65,23.93,0.82,8.95,26.72,1.82,14.89,0.1,Satisfactory
Delhi,181.17,296.25,16.96,46.25,55.82,31.94,1.11,10.31,69.43,2.58,5.74,0.1,Very Poor
Delhi,110.35,185.05,15.75,28.49,1.51,48.94,1.12,10.45,37.82,1.42,2.71,0.1,Poor
Visakhapatnam,12.75,35.5,4.05,25.95,17.1,11.45,0.76,7.2,11.78,0.98,2.92,0.35,Good
Kolkata,8.78,20.66,11.27,10.09,20.78,10.65,0.3,3.12,28.48,16.46,12.06,1.09,Good
Chandigarh,12.39,28.15,1.46,8.79,5.73,34.98,0.45,14.81,9.96,3.27,0.12,1.15,Good
Amaravati,17.5,40.25,0.95,24.65,13.9,5.93,0.52,13.35,33.3,0,1.25,0.1,Good
Delhi,144.79,245.63,31.23,73.84,71.1,39.84,1.17,26.63,19.91,4.19,19.12,0.26,Very Poor
Hyderabad,26.92,46.17,7.57,31.42,20.99,16.17,0.41,3.64,13.8,1.33,5.79,0.18,Good
Visakhapatnam,16,65,4.07,16.05,11.82,7.45,0.23,11,28.45,4.77,5.93,1.97,Satisfactory
Hyderabad,80.33,168.5,5.66,43.32,27.01,27.44,0.58,13.79,54.33,3.17,21.88,7.78,Moderate
Amritsar,221.34,372.38,12.54,32.17,44.71,4.32,2.34,4.92,19.21,3.1,17.11,19.8,Very Poor
Amaravati,17.75,34,3.12,16.98,11.55,2.65,0.7,3.55,21.4,0.1,2.15,0.35,Good
Delhi,667.33,623.9,89.27,46.66,60.92,46.68,1.36,57.23,37.98,4.5,8.31,0.06,Severe
Patna,103.1,267.17,86.04,54.16,110.77,29.88,1.25,8.61,2.1,3,6.08,1.16,Poor
Delhi,111.6,153.14,16.99,28.66,31.48,29.65,0.89,10.93,17.59,2.65,13.12,0.2,Poor
Hyderabad,70.25,104.25,6.88,36.73,8.38,17.45,0,6.85,47.88,0.03,0.23,0.04,Moderate
Hyderabad,42.44,70.85,2.23,23,11.28,9.11,0.39,6.68,51.01,0.67,1.8,0,Satisfactory
Chandigarh,5.47,12.79,5.2,7.35,8.01,25.06,0.57,7.92,5.7,2.33,0.4,1.37,Good
Amaravati,31.25,48,3.2,11.95,8.93,8.28,0.65,11.65,35.08,0.2,1.12,0.1,Satisfactory
Delhi,136.83,236.27,39.05,57.88,85.86,51.67,1.42,18.46,50.83,3.48,15.28,0.08,Very Poor
Kolkata,6.68,16.44,5.42,9.57,13.8,9.25,0.36,2.5,27.95,11.72,13.19,2.62,Good
Amritsar,15.75,59.04,17.07,15.36,28.37,10.82,0.65,7.01,39.82,1.36,1.67,2,Satisfactory
Delhi,437.69,631.42,237.68,123.59,274.35,67.24,4.86,25.07,37.85,16.41,128.4,4.43,Severe
Delhi,197.27,377.51,101.3,84.94,131.74,57.88,1.91,13.57,44.66,3.05,5.25,0.36,Very Poor
Visakhapatnam,17.25,56.25,3.62,12.8,9.75,5.07,0.31,2,28.17,3.02,4.9,1.18,Satisfactory
Kolkata,17.24,31.13,5.75,16.28,21.92,12.8,0.46,6.1,19.8,23.26,19.71,1.88,Good
Hyderabad,17.65,27.75,4.46,23.02,14.2,10.82,0.36,6.02,18.77,0.4,1.49,0.04,Good
Delhi,202.5,339.5,13.8,82.05,53.58,67.74,1.68,9.91,47.59,4.7,40.36,1.04,Severe
Gurugram,40.89,87.44,8.51,19.63,14.52,43.3,0.71,16.1,10.49,2.05,2.66,2.5,Satisfactory
Kolkata,62.85,174.96,17.87,88.67,106.61,22.95,1.63,10.04,12.59,20.27,42.16,6.16,Poor
Delhi,117.8,164.95,18.58,39.3,39.37,34.39,0.88,9.93,18.85,2.54,15.74,0.08,Poor
Delhi,398.94,588.66,121.35,67.72,145.91,55.74,3.21,13.77,35.72,10.23,59.34,6.01,Severe
Delhi,240.49,453.65,48.8,56.59,102.58,53.56,1.71,17.61,80.71,4.22,7.86,0,Severe
Delhi,413.19,580.16,175.58,87.9,203.52,65,3.57,18.15,39.02,14.29,87.34,3.67,Severe
Amritsar,17.62,61.23,9.12,11.77,20.88,9.59,0.84,2.58,43.03,2.11,0.89,0.55,Satisfactory
Amritsar,144.57,255.67,68.95,18.31,87.26,10.03,1.23,9.74,17.51,4.8,9.14,14.42,Very Poor
Hyderabad,28,121.12,76.89,27.29,29.57,19.12,0.09,4.1,55.51,0.03,0.56,0.19,Moderate
Hyderabad,15.15,36.62,4.88,28.22,18.5,8.42,0.24,7.92,7.6,0.42,2.7,0.28,Good
Visakhapatnam,38,110,10,50.45,34.97,8.03,0.85,3.82,8.88,3.95,17.72,3.5,Moderate
Delhi,139.85,348.98,56.36,85.08,147.95,25.59,2.43,16.13,35.14,10.87,26.32,1.94,Very Poor
Hyderabad,52.25,97.3,15.68,43.92,33.02,16.45,0.48,4.18,50.63,1.42,6.33,0.46,Moderate
Kolkata,11.86,23.2,3.52,7.08,10.66,6.98,0.31,4.66,14.38,1.43,9.6,0.71,Good
Delhi,109.66,447.53,9.35,31.12,34.46,43.77,0.78,12.75,82.85,3.15,10.17,0,Poor
Kolkata,17.54,33.32,3.2,10.08,13.32,9.5,0.41,5.6,37.15,2.12,7.46,0.64,Good
Kolkata,17.13,35.33,7.21,15.44,22.64,10.22,0.33,4.53,12.49,12.25,10.86,1.38,Good
Delhi,258.74,449.65,23.18,54.16,3.75,51.28,1.46,8.78,57.37,3.06,4.52,0.3,Severe
Hyderabad,67.33,156.2,65.65,114.55,114.04,17.74,1.91,12.95,6.58,6.39,23.17,9.4,Moderate
Delhi,193.39,288.1,19,53.88,47.76,49.81,1.28,13.07,18.45,4.6,24.58,0.6,Very Poor
Delhi,127.88,183.86,27.66,41.96,50.43,33.76,0.94,10.64,18.81,2.99,19.75,0.24,Poor
Delhi,171.06,262.67,23.37,33.99,44.36,76.15,10.85,5.06,8.62,4.57,7.73,3.32,Very Poor
Delhi,294.63,399.01,100.6,71.13,15.99,82.07,2.37,32.01,25.19,10.15,33.21,0.5,Severe
Hyderabad,57,160.38,10.66,44.92,13.02,10.7,0.2,21.6,17.68,0.2,1.61,1.37,Moderate
Hyderabad,65.84,139.25,3.1,8.06,9.84,10.6,0.55,7.5,29.99,0.62,4.18,0.15,Moderate
Delhi,91.38,201.51,12.56,42.02,36,42,1,15.42,82.11,2.59,29.82,0.22,Very Poor
Visakhapatnam,19,49,4.85,12.45,10.55,5.55,0.11,6.25,57.75,1.45,2.05,0.35,Satisfactory
Patna,93.56,116.12,59.87,20.03,79.26,26.24,0.78,10.19,13.5,2.69,13.2,4.79,Poor
Delhi,240.04,386.07,32.51,69.56,67.32,59.27,1.6,17.4,53.85,6.89,36.93,2.3,Severe
Hyderabad,10.95,43,2.68,14.59,9.93,9.66,0.2,6.53,26.43,0.08,0.36,0.02,Good
Delhi,234.49,364.15,18.63,52.1,60.84,47.03,1.4,20.48,82.73,3.8,6.95,0,Severe
Hyderabad,61.5,74.5,3.6,66.62,41.58,20.85,1.08,4.62,12.01,1.84,8.91,1.76,Moderate
Kolkata,12.31,32.37,4.9,8.66,13.63,6.37,0.36,4.47,17.65,1.95,8.54,0.19,Good
Kolkata,89.04,156.62,14.36,48.09,62.51,28.05,0.93,10.03,21.98,8.59,14.76,1.72,Poor
Delhi,284.21,401.74,172.52,59.86,194.41,57.47,3.84,14.66,27.51,10.26,93.79,14.36,Severe
Patna,17.35,60.96,9.48,26.29,21.29,1.26,1.03,3.52,21.37,1.82,6.16,2.16,Satisfactory
Amritsar,123.12,216.69,17.22,9.98,27.2,13.03,0.62,12.17,8.97,2.46,3.08,2,Poor
Kolkata,86.46,144.1,5.77,28.42,34.25,23.98,0.44,17.75,112.03,6.4,11.22,1.1,Poor
Visakhapatnam,76,115,4.15,10.88,9.2,12.85,0.8,7,99.18,3.68,5.45,1.63,Moderate
Delhi,289.5,478.9,30.39,80.29,72.28,48.18,2.42,11.48,30.22,5.86,38.85,0.48,Severe
Hyderabad,27.62,69,1.01,29.5,8.27,20.7,0.1,1.26,63.69,0,0.3,0.02,Satisfactory
Hyderabad,14.21,33.31,2.64,18.83,11.76,8.24,0.57,7.68,13.53,0.12,1.58,0.18,Good
Amritsar,5.36,39.61,8.16,8.99,17.04,10.92,0.39,3.42,13.96,3.33,1.12,11.37,Good
Delhi,419.04,619.69,44.7,87.15,89.85,63.1,2.11,16.7,36.26,8.35,37.63,3.15,Severe
Delhi,569.79,809.21,12.33,28.64,33.37,36.83,0.89,7.74,13.05,2.64,7.8,0,Severe
Kolkata,97.75,184.25,18.05,49.4,67.48,17.42,0.82,7.41,10.15,4.79,11.4,1.85,Poor
Patna,64.38,108.36,82.8,43.59,75.45,14.62,1.45,10.92,47.76,0.96,4,0.38,Moderate
Delhi,87.14,135.02,19.8,51.56,44.56,37.88,1.53,5.69,43.28,2.09,4.19,0.26,Poor
Amritsar,59.45,143.87,63.88,79.65,159.27,15.75,0.73,3.95,11.67,11.23,7.63,5.89,Moderate
Visakhapatnam,24.25,89.75,2.38,42.52,24.58,10.75,0.23,17.48,22.58,3.7,6.83,2.02,Moderate
Delhi,280.11,437.34,90.19,54.28,125.14,102.61,3.19,25.63,31.76,7.73,22.1,0.1,Severe
Delhi,292.76,429.41,74.27,57.29,97.82,50.56,1.59,11.19,26.3,6.66,32.23,1.64,Severe
Delhi,257.72,393.98,23.14,43.14,43.47,35.37,1.44,15.68,40.01,4.27,17.55,0.23,Severe
Visakhapatnam,73.5,94,34.45,84.77,67,2.5,1,42.58,134.35,11.02,16.77,17.88,Moderate
Delhi,45.08,60.41,29.97,25.21,47.35,30,20.35,2.83,17.07,3.51,8.59,1.13,Poor
Delhi,376.37,591.24,10.38,28.5,30,35.92,0.78,6.95,16.14,2.05,8.29,0,Severe
Amritsar,90.79,199.52,4.75,76.53,81.29,13.86,1.72,2.21,18.97,5.48,9.1,8.67,Poor
Kolkata,9.45,19.8,11.07,16.11,24.54,10.46,0.55,3.06,7.1,22.81,11.53,3.01,Good
Delhi,215.58,429.26,45.06,56.22,73.78,117.63,10.73,5.5,36.62,4.79,8.66,5.85,Very Poor
Amaravati,72.75,120.75,5.7,70.15,41.97,20.38,0,9.4,4.4,0.2,6.15,0.1,Moderate
Delhi,71.71,220.4,7.41,27.42,22.17,36.68,1.02,15.47,120.4,2.32,10.86,1.44,Poor
Chandigarh,9.59,21.49,1.18,9.46,5.72,31.39,0.41,13.73,22.12,2.67,0.1,1.01,Good
Delhi,218.73,414.48,75.72,110.69,128.11,51.78,2.54,21.33,22.74,7.56,58.4,0.52,Severe
Amaravati,10.5,28.5,2.53,10.6,7.67,7.95,0.52,6.3,12,0.2,3.55,0.2,Good
Visakhapatnam,131,318,44.8,77.45,77.6,17.95,1.56,12.2,5.55,6.2,9.25,3.15,Poor
Amritsar,176.81,205.52,19.43,42.2,61.63,70.55,1.02,5.2,5.78,2.78,11.79,25.53,Very Poor
Delhi,73.3,200.94,10.03,36.98,41.07,41.18,0.56,11.12,105.23,0.95,3.44,0,Poor
Delhi,192.25,715.43,8.33,20.28,23.64,28.17,0.65,5.09,35.22,1.65,2.8,0,Severe
Hyderabad,22.33,38.92,5.25,19.46,8.76,5.1,0.24,3.66,16.05,1.22,7.53,1.33,Good
Hyderabad,14,34.5,2.02,12.59,8.34,8.72,0.26,4.81,18.19,0.03,0.37,0,Good
Visakhapatnam,56,126.25,11.4,43.6,29.72,17.9,1.12,33.72,33.35,8.68,31.73,2.25,Moderate
Chandigarh,16.63,34.89,3.2,5.97,8.5,30.25,0.69,14.01,6.04,4.71,0.69,1.27,Good
Visakhapatnam,2,14,0.3,10.45,5.72,8.35,0.11,2.88,6.7,0.4,1.07,0.05,Good
Chandigarh,18.08,50.7,5.73,16.67,13.56,64.95,0.4,9.3,21.45,4.43,0.1,1.26,Good
Visakhapatnam,70,118,2.92,21.05,13.55,13.47,1.08,7.85,87.75,4.55,6.88,0.95,Moderate
Delhi,240.71,342.9,34.92,51,77.17,49.99,1.5,10.93,54.03,4.05,9.52,0.07,Severe
Delhi,29.64,74.9,12.19,35.93,31.45,28.73,1.02,7.25,30.91,2.46,21.88,1.1,Satisfactory
Delhi,136.17,268.24,25.62,73.2,66.1,35.53,1.66,12.54,35.71,5.14,47.41,2,Very Poor
Delhi,62.38,109.9,21.08,23.36,9.44,31.98,0.19,10.02,21.43,0.22,1.52,0.09,Moderate
Chandigarh,25.78,77.84,6.4,22.18,16.55,60.55,0.48,8.22,16.4,4.53,3.15,0.75,Satisfactory
Hyderabad,18.45,38.12,6.13,24.01,17.56,26.38,0.15,6.8,17.43,0.46,2.05,0.24,Good
Kolkata,157.57,290.26,23.88,57.4,81.19,28.8,1.95,8.05,9.15,31.32,43.61,2.55,Poor
Hyderabad,76.62,161.35,15.05,62.37,44.79,12.48,0.81,32,29.23,7.66,55.86,17.73,Moderate
Hyderabad,33.71,77.2,17.35,25.06,24.31,18.08,0.47,5.51,58,1.37,10.95,0.64,Satisfactory
Delhi,111.86,195.04,38.71,31.28,17.75,53.96,0.3,7.69,19.36,0.54,3.46,0.08,Poor
Amritsar,37.01,109.7,16.91,9.76,36.88,10.2,0.58,3.22,16.58,11.51,7.14,5.51,Moderate
Kolkata,17.63,34.69,9.97,17.23,22.67,8.28,0.51,2.9,4.66,24.63,10.82,2.69,Good
Delhi,271.2,432.4,101.09,47.17,114.14,49.81,2.17,12.29,25.43,7.72,33.73,0.64,Severe
Visakhapatnam,55,132,24.35,53.88,48.45,16.73,0.81,4.32,49.8,5.82,13.2,6.62,Moderate
Visakhapatnam,44.5,123,4.3,28.45,17.05,10.33,0.62,1.52,62.15,2.43,6.6,2.6,Moderate
Patna,12.31,26.89,38.08,6.04,26.01,15.55,0.5,2.58,8.65,1.12,1.27,0.56,Good
Delhi,295.58,415.28,93.8,58.06,116.83,54.82,1.81,13.18,21.21,7.42,37.64,1.14,Severe
